aae	Aedes aegypti
aau	Acacia auriculiformis
aca	Anolis carolinensis
aga	Anopheles gambiae
age	Ateles geoffroyi
ahy	Arachis hypogaea
aja	Artibeus jamaicensis
aly	Arabidopsis lyrata
ama	Avicennia marina
ame	Apis mellifera
amg	Acacia mangium
api	Acyrthosiphon pisum
aqc	Aquilegia caerulea
aqu	Amphimedon queenslandica
asu	Ascaris suum
ata	Aegilops tauschii
ath	Arabidopsis thaliana
atr	Amborella trichopoda
bbe	Branchiostoma belcheri
bcy	Bruguiera cylindrica
bdi	Brachypodium distachyon
bfl	Branchiostoma floridae
bgy	Bruguiera gymnorhiza
bkv	BK polyomavirus
bma	Brugia malayi
bmo	Bombyx mori
bna	Brassica napus
bol	Brassica oleracea
bra	Brassica rapa
bta	Bos taurus
cbn	Caenorhabditis brenneri
cbr	Caenorhabditis briggsae
cca	Cynara cardunculus
ccl	Citrus clementina
ccr	Cyprinus carpio
cel	Caenorhabditis elegans
cfa	Canis familiaris
cgr	Cricetulus griseus
chi	Capra hircus
cin	Ciona intestinalis
cla	Cerebratulus lacteus
cln	Cunninghamia lanceolata
cme	Cucumis melo
cpa	Carica papaya
cqu	Culex quinquefasciatus
cre	Chlamydomonas reinhardtii
crm	Caenorhabditis remanei
crt	Citrus reticulata
csa	Ciona savignyi
csi	Citrus sinensis
cte	Capitella teleta
ctr	Citrus trifoliata
dan	Drosophila ananassae
ddi	Dictyostelium discoideum
der	Drosophila erecta
dgr	Drosophila grimshawi
dme	Drosophila melanogaster
dmo	Drosophila mojavensis
dpe	Drosophila persimilis
dpr	Digitalis purpurea
dps	Drosophila pseudoobscura
dpu	Daphnia pulex
dre	Danio rerio
dse	Drosophila sechellia
dsi	Drosophila simulans
dvi	Drosophila virilis
dwi	Drosophila willistoni
dya	Drosophila yakuba
eca	Equus caballus
efu	Eptesicus fuscus
egr	Echinococcus granulosus
egu	Elaeis guineensis
emu	Echinococcus multilocularis
esi	Ectocarpus siliculosus
far	Festuca arundinacea
fru	Fugu rubripes
gar	Gossypium arboreum
gga	Gallus gallus
ggo	Gorilla gorilla
ghb	Gossypium herbaceum
ghr	Gossypium hirsutum
gma	Glycine max
gpy	Glottidia pyramidata
gra	Gossypium raimondii
gsa	Gyrodactylus salaris
gso	Glycine soja
han	Helianthus annuus
har	Helianthus argophyllus
hbr	Hevea brasiliensis
hci	Helianthus ciliaris
hcmv	Human cytomegalovirus
hco	Haemonchus contortus
hex	Helianthus exilis
hhi	Hippoglossus hippoglossus
hma	Hydra magnipapillata
hme	Heliconius melpomene
hpa	Helianthus paradoxus
hpe	Helianthus petiolaris
hru	Haliotis rufescens
hsa	Homo sapiens
htu	Helianthus tuberosus
hvu	Hordeum vulgare
ipu	Ictalurus punctatus
isc	Ixodes scapularis
jcv	JC polyomavirus
lca	Lemur catta
lco	Leucosolenia complicata
lgi	Lottia gigantea
lja	Lotus japonicus
lla	Lagothrix lagotricha
lmi	Locusta migratoria
lus	Linum usitatissimum
lva	Lytechinus variegatus
mcmv	Mouse cytomegalovirus
mdm	Malus domestica
mdo	Monodelphis domestica
mes	Manihot esculenta
meu	Macropus eugenii
mja	Marsupenaeus japonicus
mml	Macaca mulatta
mmu	Mus musculus
mne	Macaca nemestrina
mse	Manduca sexta
mtr	Medicago truncatula
ngi	Nasonia giraulti
nlo	Nasonia longicornis
nta	Nicotiana tabacum
nve	Nematostella vectensis
nvi	Nasonia vitripennis
oan	Ornithorhynchus anatinus
oar	Ovis aries
ocu	Oryctolagus cuniculus
odi	Oikopleura dioica
oha	Ophiophagus hannah
ola	Oryzias latipes
osa	Oryza sativa
pab	Picea abies
pbi	Pygathrix bieti
pde	Pinus densata
peu	Populus euphratica
pgi	Panax ginseng
pin	Phytophthora infestans
pma	Petromyzon marinus
pmi	Patiria miniata
pol	Paralichthys olivaceus
ppa	Pan paniscus
ppc	Pristionchus pacificus
ppe	Prunus persica
ppt	Physcomitrella patens
ppy	Pongo pygmaeus
pra	Phytophthora ramorum
prd	Panagrellus redivivus
prv	Pseudorabies virus
psj	Phytophthora sojae
pta	Pinus taeda
ptc	Populus trichocarpa
pti	Phaeodactylum tricornutum
ptr	Pan troglodytes
pvu	Phaseolus vulgaris
pxy	Plutella xylostella
rco	Ricinus communis
rgl	Rehmannia glutinosa
rlcv	Rhesus lymphocryptovirus
rmi	Rhipicephalus microplus
rno	Rattus norvegicus
sbi	Sorghum bicolor
sci	Sycon ciliatum
sha	Sarcophilus harrisii
sja	Schistosoma japonicum
sko	Saccoglossus kowalevskii
sla	Saguinus labiatus
sly	Solanum lycopersicum
sma	Schistosoma mansoni
sme	Schmidtea mediterranea
smo	Selaginella moellendorffii
smr	Strigamia maritima
sof	Saccharum officinarum
spu	Strongylocentrotus purpuratus
ssa	Salmo salar
ssc	Sus scrofa
ssl	Salvia sclarea
ssy	Symphalangus syndactylus
str	Strongyloides ratti
stu	Solanum tuberosum
tae	Triticum aestivum
tca	Tribolium castaneum
tcc	Theobroma cacao
tch	Tupaia chinensis
tgu	Taeniopygia guttata
tni	Tetraodon nigroviridis
tre	Terebratulina retusa
ttu	Triticum turgidum
tur	Tetranychus urticae
vun	Vigna unguiculata
vvi	Vitis vinifera
xbo	Xenoturbella bocki
xla	Xenopus laevis
xtr	Xenopus tropicalis
zma	Zea mays
